TransactionID,Product,Quantity,Price,Transaction Date,Store Location,Notes,Irrelevant
57,Product A,16,97.68547218174436,2022-07-27,,Gift,0.11203890216805235
58,Product D,19,99.62588684929415,2022-07-28,New York,Urgent,0.39785559904574164
59,Product C,5,15.499909632076054,2022-07-29,Los Angeles,Gift,0.9694704332753689
60,Product A,14,76.45731197722738,2022-07-30,Los Angeles,,0.8655071258939803
61,Product D,5,59.354002272064854,2022-07-31,Los Angeles,,0.8170720709492799
62,Product C,15,73.66485949230437,2022-08-01,Chicago,Urgent,0.25790282704493983
63,Product D,17,97.18466246624533,2022-08-02,,Gift,0.17088758739006582
64,Product B,14,72.07180561056424,2022-08-03,,Gift,0.668643219924431
65,Product A,5,85.39989710550257,2022-08-04,New York,Gift,0.9293759891275858
66,Product B,12,88.07608043826718,2022-08-05,New York,,0.5567628930139298
67,Product C,16,85.53564354923901,2022-08-06,Los Angeles,Standard,0.5716126894698998
68,Product B,16,48.630926101950756,2022-08-07,New York,,0.2799790936602842
69,Product B,7,30.41836360843152,2022-08-08,Chicago,Standard,0.7694929331919369
70,Product C,4,45.996351858885994,2022-08-09,,Gift,0.18704374855752337
71,Product D,1,90.31585436643374,2022-08-10,Los Angeles,Gift,0.3236792364042437
72,Product B,5,23.619665493219358,2022-08-11,New York,,0.4254364386164168
73,Product D,10,56.437558836282236,2022-08-12,Chicago,,0.507610378684455
74,Product B,5,31.37158020127099,2022-08-13,Chicago,Standard,0.24240973241508024
75,Product D,4,62.52102178762475,2022-08-14,New York,,0.11483682473920354
76,Product C,2,877.4226633279595,2022-08-15,,Standard,0.6106200424416326
77,Product B,10,89.28341359345191,2022-08-16,New York,,0.28863055324025577
78,Product C,19,31.680957982609225,2022-08-17,Los Angeles,,0.5812382214226123
79,Product B,1,91.7295097811314,2022-08-18,New York,Urgent,0.1543627152742023
80,Product C,5,63.468123237116735,2022-08-19,Chicago,,0.4811401018548175
81,Product C,13,41.841030897211056,2022-08-20,New York,Urgent,0.5325894325515859
82,Product B,4,73.87513519274054,2022-08-21,,,0.05182353682242691
83,Product B,16,53.60437875290868,2022-08-22,Houston,Standard,0.3366042781939206
84,Product B,16,44.326109440040554,2022-08-23,New York,Standard,0.13441467693897424
85,Product A,2,73.5979997609081,2022-08-24,,Urgent,0.06337497047276774
86,Product D,17,32.75832457996647,2022-08-25,,Standard,0.9899602323899452
87,Product A,12,40.054298821919126,2022-08-26,Chicago,,0.32235384497472297
88,Product A,18,49.3790955632554,2022-08-27,,Gift,0.8098744458546349
89,Product C,3,33.202017739907184,2022-08-28,,Urgent,0.25464065476376385
90,Product B,1,46.76153474606902,2022-08-29,,Standard,0.6815027222239293
91,Product D,1,61.6411210255964,2022-08-30,,Urgent,0.7602278598896866
92,Product C,19,76.8097508128957,2022-08-31,Los Angeles,Urgent,0.5956387406078443
93,Product A,11,79.15626740468608,2022-09-01,Los Angeles,Gift,0.47157618855015837
94,Product B,5,84.13150858944526,2022-09-02,Chicago,,0.41184091414726853
95,Product C,12,77.09950117985574,2022-09-03,New York,Urgent,0.3488682665429953
96,Product B,3,71.44621833090238,2022-09-04,,Standard,0.9295291442478258
97,Product C,1,31.75445411596313,2022-09-05,New York,,0.8306194077877291
98,Product B,1,46.3159466831175,2022-09-06,New York,Urgent,0.9650269106665126
99,Product A,8,53.250705584871575,2022-09-07,Chicago,Urgent,0.12429722348554473
100,Product D,10,17.91794437833827,2022-09-08,,Gift,0.7308674752036443
1,Product C,13,289.96183365369944,2022-06-01,New York,,0.18452101935637732
31,Product A,15,71.339309353273,2022-07-01,Los Angeles,Gift,0.08692028808742369
61,Product D,5,59.354002272064854,2022-07-31,Los Angeles,,0.8170720709492799
91,Product D,1,61.6411210255964,2022-08-30,,Urgent,0.7602278598896866
